index,month_branch,day_pillar,primary_trait,secondary_manifestation,keyword
100,丑,癸卯,차분한 관찰형,,차분한 관찰형
101,丑,甲辰,꾸준한 개척설계형,,꾸준한 개척설계형
102,丑,乙巳,꾸준한 관계표현형,,꾸준한 관계표현형
103,丑,丙午,차분한 주도표현형,,차분한 주도표현형
104,丑,丁未,차분한 감정운영형,,차분한 감정운영형
105,丑,戊申,안정적인 구조개선형,,안정적인 구조개선형
106,丑,己酉,현실적인 실무정리형,,현실적인 실무정리형
107,丑,庚戌,끈기 있는 실행관리형,,끈기 있는 실행관리형
108,丑,辛亥,안목 있는 가치이해형,,안목 있는 가치이해형
109,丑,壬子,신중한 정보감각형,,신중한 정보감각형
110,丑,癸丑,차분한 직관관리형,,차분한 직관관리형
111,丑,甲寅,꾸준한 주도실행형,,꾸준한 주도실행형
112,丑,乙卯,꾸준한 관계확장형,,꾸준한 관계확장형
113,丑,丙辰,차분한 표현설계형,,차분한 표현설계형
114,丑,丁巳,차분한 집중표현형,,차분한 집중표현형
115,丑,戊午,안정적인 운영주도형,,안정적인 운영주도형
116,丑,己未,현실적인 안정조율형,,현실적인 안정조율형
117,丑,庚申,끈기 있는 문제해결형,,끈기 있는 문제해결형
118,丑,辛酉,안목 있는 가치판단형,,안목 있는 가치판단형
119,丑,壬戌,신중한 장기전략형,,신중한 장기전략형
120,丑,癸亥,차분한 통찰형,,차분한 통찰형
121,寅,甲子,적극적인 자기주도형,,적극적인 자기주도형
122,寅,乙丑,유연한 관계조율형,,유연한 관계조율형
123,寅,丙寅,활동적인 추진형,,활동적인 추진형
124,寅,丁卯,표현력 있는 감정표현형,,표현력 있는 감정표현형
125,寅,戊辰,추진력 있는 운영형,,추진력 있는 운영형
126,寅,己巳,성장지향적인 실무형,,성장지향적인 실무형
127,寅,庚午,추진력 있는 실행결단형,,추진력 있는 실행결단형
128,寅,辛未,기준이 분명한 가치관리형,,기준이 분명한 가치관리형
129,寅,壬申,미래지향적인 정보전략형,,미래지향적인 정보전략형
130,寅,癸酉,직관적인 관찰분석형,,직관적인 관찰분석형
131,寅,甲戌,적극적인 원칙개척형,,적극적인 원칙개척형
132,寅,乙亥,유연한 관계공감형,,유연한 관계공감형
133,寅,丙子,활동적인 표현준비형,,활동적인 표현준비형
134,寅,丁丑,표현력 있는 감정관리형,,표현력 있는 감정관리형
135,寅,戊寅,추진력 있는 기반구축형,,추진력 있는 기반구축형
136,寅,己卯,성장지향적인 관계관리형,,성장지향적인 관계관리형
137,寅,庚辰,추진력 있는 구조해결형,,추진력 있는 구조해결형
138,寅,辛巳,기준이 분명한 가치표현형,,기준이 분명한 가치표현형
139,寅,壬午,미래지향적인 영향전략형,,미래지향적인 영향전략형
140,寅,癸未,직관적인 의미정리형,,직관적인 의미정리형
141,寅,甲申,적극적인 기회판단형,,적극적인 기회판단형
142,寅,乙酉,유연한 관계판단형,,유연한 관계판단형
143,寅,丙戌,활동적인 책임표현형,,활동적인 책임표현형
144,寅,丁亥,표현력 있는 감정이해형,,표현력 있는 감정이해형
145,寅,戊子,추진력 있는 현실설계형,,추진력 있는 현실설계형
146,寅,己丑,성장지향적인 관리형,,성장지향적인 관리형
147,寅,庚寅,추진력 있는 실행형,,추진력 있는 실행형
148,寅,辛卯,기준이 분명한 표현형,,기준이 분명한 표현형
149,寅,壬辰,미래지향적인 상황분석형,,미래지향적인 상황분석형
150,寅,癸巳,직관적인 설득형,,직관적인 설득형
151,寅,甲午,적극적인 자기확장형,,적극적인 자기확장형
152,寅,乙未,유연한 관계지속형,,유연한 관계지속형
153,寅,丙申,활동적인 표현전략형,,활동적인 표현전략형
154,寅,丁酉,표현력 있는 감정정리형,,표현력 있는 감정정리형
155,寅,戊戌,추진력 있는 책임관리형,,추진력 있는 책임관리형
156,寅,己亥,성장지향적인 현실조율형,,성장지향적인 현실조율형
157,寅,庚子,추진력 있는 판단결단형,,추진력 있는 판단결단형
158,寅,辛丑,기준이 분명한 관리형,,기준이 분명한 관리형
159,寅,壬寅,미래지향적인 사고확장형,,미래지향적인 사고확장형
160,寅,癸卯,직관적인 관찰형,,직관적인 관찰형
161,寅,甲辰,적극적인 개척설계형,,적극적인 개척설계형
162,寅,乙巳,유연한 관계표현형,,유연한 관계표현형
163,寅,丙午,활동적인 주도형,,활동적인 주도형
164,寅,丁未,표현력 있는 감정운영형,,표현력 있는 감정운영형
165,寅,戊申,추진력 있는 구조개선형,,추진력 있는 구조개선형
166,寅,己酉,성장지향적인 실무정리형,,성장지향적인 실무정리형
167,寅,庚戌,추진력 있는 실행관리형,,추진력 있는 실행관리형
168,寅,辛亥,기준이 분명한 가치이해형,,기준이 분명한 가치이해형
169,寅,壬子,미래지향적인 정보감각형,,미래지향적인 정보감각형
170,寅,癸丑,직관적인 판단관리형,,직관적인 판단관리형
171,寅,甲寅,적극적인 주도실행형,,적극적인 주도실행형
172,寅,乙卯,유연한 관계확장형,,유연한 관계확장형
173,寅,丙辰,활동적인 표현설계형,,활동적인 표현설계형
174,寅,丁巳,표현력 있는 집중표현형,,표현력 있는 집중표현형
175,寅,戊午,추진력 있는 운영주도형,,추진력 있는 운영주도형
176,寅,己未,성장지향적인 안정조율형,,성장지향적인 안정조율형
177,寅,庚申,추진력 있는 문제해결형,,추진력 있는 문제해결형
178,寅,辛酉,기준이 분명한 가치판단형,,기준이 분명한 가치판단형
179,寅,壬戌,미래지향적인 장기전략형,,미래지향적인 장기전략형
180,寅,癸亥,직관이 강한 통찰형,,직관이 강한 통찰형
181,卯,甲子,사회적인 자기주도형,,사회적인 자기주도형
182,卯,乙丑,유연한 관계조율형,,유연한 관계조율형
183,卯,丙寅,감각적인 추진형,,감각적인 추진형
184,卯,丁卯,섬세한 감정표현형,,섬세한 감정표현형
185,卯,戊辰,균형 있는 운영형,,균형 있는 운영형
186,卯,己巳,친화적인 실무형,,친화적인 실무형
187,卯,庚午,분명한 실행결단형,,분명한 실행결단형
188,卯,辛未,섬세한 가치관리형,,섬세한 가치관리형
189,卯,壬申,연결력이 좋은 정보전략형,,연결력이 좋은 정보전략형
190,卯,癸酉,섬세한 관찰분석형,,섬세한 관찰분석형
191,卯,甲戌,사회적인 원칙개척형,,사회적인 원칙개척형
192,卯,乙亥,유연한 관계공감형,,유연한 관계공감형
193,卯,丙子,감각적인 표현준비형,,감각적인 표현준비형
194,卯,丁丑,섬세한 감정관리형,,섬세한 감정관리형
195,卯,戊寅,균형 있는 기반구축형,,균형 있는 기반구축형
196,卯,己卯,친화적인 관계관리형,,친화적인 관계관리형
197,卯,庚辰,분명한 구조해결형,,분명한 구조해결형
198,卯,辛巳,섬세한 가치표현형,,섬세한 가치표현형
199,卯,壬午,연결력이 좋은 영향전략형,,연결력이 좋은 영향전략형
200,卯,癸未,섬세한 의미정리형,,섬세한 의미정리형
201,卯,甲申,사회적인 기회판단형,,사회적인 기회판단형
202,卯,乙酉,유연한 관계판단형,,유연한 관계판단형
203,卯,丙戌,감각적인 책임표현형,,감각적인 책임표현형
204,卯,丁亥,섬세한 감정이해형,,섬세한 감정이해형
205,卯,戊子,균형 있는 현실설계형,,균형 있는 현실설계형
206,卯,己丑,친화적인 관리형,,친화적인 관리형
207,卯,庚寅,분명한 실행추진형,,분명한 실행추진형
208,卯,辛卯,섬세한 표현기준형,,섬세한 표현기준형
209,卯,壬辰,연결력이 좋은 상황분석형,,연결력이 좋은 상황분석형
210,卯,癸巳,섬세한 설득형,,섬세한 설득형
211,卯,甲午,사회성이 강한 확장형,,사회성이 강한 확장형
212,卯,乙未,유연한 관계지속형,,유연한 관계지속형
213,卯,丙申,감각적인 표현전략형,,감각적인 표현전략형
214,卯,丁酉,섬세한 감정정리형,,섬세한 감정정리형
215,卯,戊戌,균형 있는 책임관리형,,균형 있는 책임관리형
216,卯,己亥,친화적인 현실조율형,,친화적인 현실조율형
217,卯,庚子,분명한 판단결단형,,분명한 판단결단형
218,卯,辛丑,섬세한 기준관리형,,섬세한 기준관리형
219,卯,壬寅,연결력이 좋은 사고확장형,,연결력이 좋은 사고확장형
220,卯,癸卯,섬세한 관찰형,,섬세한 관찰형
221,卯,甲辰,사회적인 개척설계형,,사회적인 개척설계형
222,卯,乙巳,유연한 관계표현형,,유연한 관계표현형
223,卯,丙午,감각적인 주도표현형,,감각적인 주도표현형
224,卯,丁未,섬세한 감정운영형,,섬세한 감정운영형
225,卯,戊申,균형 있는 구조개선형,,균형 있는 구조개선형
226,卯,己酉,친화적인 실무정리형,,친화적인 실무정리형
227,卯,庚戌,분명한 실행관리형,,분명한 실행관리형
228,卯,辛亥,섬세한 가치이해형,,섬세한 가치이해형
229,卯,壬子,연결력이 좋은 정보감각형,,연결력이 좋은 정보감각형
230,卯,癸丑,섬세한 직관관리형,,섬세한 직관관리형
231,卯,甲寅,사회적인 주도실행형,,사회적인 주도실행형
232,卯,乙卯,유연한 관계확장형,,유연한 관계확장형
233,卯,丙辰,감각적인 표현설계형,,감각적인 표현설계형
234,卯,丁巳,섬세한 집중표현형,,섬세한 집중표현형
235,卯,戊午,균형 있는 운영주도형,,균형 있는 운영주도형
236,卯,己未,친화적인 안정조율형,,친화적인 안정조율형
237,卯,庚申,분명한 문제해결형,,분명한 문제해결형
238,卯,辛酉,섬세한 가치판단형,,섬세한 가치판단형
239,卯,壬戌,연결력이 좋은 장기전략형,,연결력이 좋은 장기전략형
240,卯,癸亥,섬세한 통찰형,,섬세한 통찰형
241,辰,甲子,계획적인 자기주도형,,계획적인 자기주도형
242,辰,乙丑,균형 있는 관계조율형,,균형 있는 관계조율형
243,辰,丙寅,계획적인 추진형,,계획적인 추진형
244,辰,丁卯,깊이 있는 감정표현형,,깊이 있는 감정표현형
245,辰,戊辰,종합적인 운영형,,종합적인 운영형
246,辰,己巳,균형 있는 실무형,,균형 있는 실무형
247,辰,庚午,개선지향적인 실행결단형,,개선지향적인 실행결단형
248,辰,辛未,기준이 뚜렷한 가치관리형,,기준이 뚜렷한 가치관리형
249,辰,壬申,전략적인 정보탐색형,,전략적인 정보탐색형
250,辰,癸酉,차분한 관찰분석형,,차분한 관찰분석형
251,辰,甲戌,계획적인 원칙개척형,,계획적인 원칙개척형
252,辰,乙亥,균형 있는 관계공감형,,균형 있는 관계공감형
253,辰,丙子,계획적인 표현준비형,,계획적인 표현준비형
254,辰,丁丑,깊이 있는 감정관리형,,깊이 있는 감정관리형
255,辰,戊寅,종합적인 기반구축형,,종합적인 기반구축형
256,辰,己卯,균형 있는 관계관리형,,균형 있는 관계관리형
257,辰,庚辰,개선지향적인 구조해결형,,개선지향적인 구조해결형
258,辰,辛巳,기준이 뚜렷한 가치표현형,,기준이 뚜렷한 가치표현형
259,辰,壬午,전략적인 영향력형,,전략적인 영향력형
260,辰,癸未,차분한 의미정리형,,차분한 의미정리형
261,辰,甲申,계획적인 기회판단형,,계획적인 기회판단형
262,辰,乙酉,균형 있는 관계판단형,,균형 있는 관계판단형
263,辰,丙戌,계획적인 책임표현형,,계획적인 책임표현형
264,辰,丁亥,깊이 있는 감정이해형,,깊이 있는 감정이해형
265,辰,戊子,종합적인 현실설계형,,종합적인 현실설계형
266,辰,己丑,균형 있는 관리형,,균형 있는 관리형
267,辰,庚寅,개선지향적인 실행추진형,,개선지향적인 실행추진형
268,辰,辛卯,기준이 뚜렷한 표현형,,기준이 뚜렷한 표현형
269,辰,壬辰,전략적인 상황분석형,,전략적인 상황분석형
270,辰,癸巳,차분한 설득형,,차분한 설득형
271,辰,甲午,계획적인 자기확장형,,계획적인 자기확장형
272,辰,乙未,균형 있는 관계지속형,,균형 있는 관계지속형
273,辰,丙申,계획적인 표현전략형,,계획적인 표현전략형
274,辰,丁酉,깊이 있는 감정정리형,,깊이 있는 감정정리형
275,辰,戊戌,종합적인 책임관리형,,종합적인 책임관리형
276,辰,己亥,균형 있는 현실조율형,,균형 있는 현실조율형
277,辰,庚子,개선지향적인 판단결단형,,개선지향적인 판단결단형
278,辰,辛丑,기준이 뚜렷한 관리형,,기준이 뚜렷한 관리형
279,辰,壬寅,전략적인 사고확장형,,전략적인 사고확장형
280,辰,癸卯,차분한 관찰형,,차분한 관찰형
281,辰,甲辰,계획적인 개척설계형,,계획적인 개척설계형
282,辰,乙巳,균형 있는 관계표현형,,균형 있는 관계표현형
283,辰,丙午,계획적인 주도표현형,,계획적인 주도표현형
284,辰,丁未,깊이 있는 감정운영형,,깊이 있는 감정운영형
285,辰,戊申,종합적인 구조개선형,,종합적인 구조개선형
286,辰,己酉,균형 있는 실무정리형,,균형 있는 실무정리형
287,辰,庚戌,개선지향적인 실행관리형,,개선지향적인 실행관리형
288,辰,辛亥,기준이 뚜렷한 가치이해형,,기준이 뚜렷한 가치이해형
289,辰,壬子,전략적인 정보감각형,,전략적인 정보감각형
290,辰,癸丑,차분한 직관관리형,,차분한 직관관리형
291,辰,甲寅,계획적인 주도실행형,,계획적인 주도실행형
292,辰,乙卯,균형 있는 관계확장형,,균형 있는 관계확장형
293,辰,丙辰,계획적인 표현설계형,,계획적인 표현설계형
294,辰,丁巳,깊이 있는 집중표현형,,깊이 있는 집중표현형
295,辰,戊午,종합적인 운영주도형,,종합적인 운영주도형
296,辰,己未,균형 있는 안정조율형,,균형 있는 안정조율형
297,辰,庚申,개선지향적인 문제해결형,,개선지향적인 문제해결형
298,辰,辛酉,기준이 뚜렷한 가치판단형,,기준이 뚜렷한 가치판단형
299,辰,壬戌,전략적인 장기관리형,,전략적인 장기관리형
300,辰,癸亥,차분한 통찰형,,차분한 통찰형
301,巳,甲子,집중력 있는 자기주도형,,집중력 있는 자기주도형
302,巳,乙丑,민첩한 관계조율형,,민첩한 관계조율형
303,巳,丙寅,열정적인 추진형,,열정적인 추진형
304,巳,丁卯,집중력 있는 감정표현형,,집중력 있는 감정표현형
305,巳,戊辰,실용적인 운영형,,실용적인 운영형
306,巳,己巳,민첩한 실무형,,민첩한 실무형
307,巳,庚午,실행력 있는 결단형,,실행력 있는 결단형
308,巳,辛未,예리한 가치관리형,,예리한 가치관리형
309,巳,壬申,민첩한 정보전략형,,민첩한 정보전략형
310,巳,癸酉,차분한 관찰분석형,,차분한 관찰분석형
311,巳,甲戌,집중력 있는 원칙개척형,,집중력 있는 원칙개척형
312,巳,乙亥,민첩한 관계공감형,,민첩한 관계공감형
313,巳,丙子,열정적인 표현준비형,,열정적인 표현준비형
314,巳,丁丑,집중력 있는 감정관리형,,집중력 있는 감정관리형
315,巳,戊寅,실용적인 기반구축형,,실용적인 기반구축형
316,巳,己卯,민첩한 관계관리형,,민첩한 관계관리형
317,巳,庚辰,실행력 있는 구조해결형,,실행력 있는 구조해결형
318,巳,辛巳,예리한 가치표현형,,예리한 가치표현형
319,巳,壬午,민첩한 영향전략형,,민첩한 영향전략형
320,巳,癸未,차분한 의미정리형,,차분한 의미정리형
321,巳,甲申,집중력 있는 기회판단형,,집중력 있는 기회판단형
322,巳,乙酉,민첩한 관계판단형,,민첩한 관계판단형
323,巳,丙戌,열정적인 책임표현형,,열정적인 책임표현형
324,巳,丁亥,집중력 있는 감정이해형,,집중력 있는 감정이해형
325,巳,戊子,실용적인 현실설계형,,실용적인 현실설계형
326,巳,己丑,민첩한 관리형,,민첩한 관리형
327,巳,庚寅,실행력 있는 추진형,,실행력 있는 추진형
328,巳,辛卯,예리한 표현기준형,,예리한 표현기준형
329,巳,壬辰,민첩한 상황분석형,,민첩한 상황분석형
330,巳,癸巳,차분한 설득형,,차분한 설득형
331,巳,甲午,집중력 있는 자기확장형,,집중력 있는 자기확장형
332,巳,乙未,민첩한 관계지속형,,민첩한 관계지속형
333,巳,丙申,열정적인 표현전략형,,열정적인 표현전략형
334,巳,丁酉,집중력 있는 감정정리형,,집중력 있는 감정정리형
335,巳,戊戌,실용적인 책임관리형,,실용적인 책임관리형
336,巳,己亥,민첩한 현실조율형,,민첩한 현실조율형
337,巳,庚子,실행력 있는 판단결단형,,실행력 있는 판단결단형
338,巳,辛丑,예리한 기준관리형,,예리한 기준관리형
339,巳,壬寅,민첩한 사고확장형,,민첩한 사고확장형
340,巳,癸卯,차분한 관찰형,,차분한 관찰형
341,巳,甲辰,집중력 있는 개척설계형,,집중력 있는 개척설계형
342,巳,乙巳,민첩한 관계표현형,,민첩한 관계표현형
343,巳,丙午,열정적인 주도형,,열정적인 주도형
344,巳,丁未,집중력 있는 감정운영형,,집중력 있는 감정운영형
345,巳,戊申,실용적인 구조개선형,,실용적인 구조개선형
346,巳,己酉,민첩한 실무정리형,,민첩한 실무정리형
347,巳,庚戌,실행력 있는 관리형,,실행력 있는 관리형
348,巳,辛亥,예리한 가치이해형,,예리한 가치이해형
349,巳,壬子,민첩한 정보감각형,,민첩한 정보감각형
350,巳,癸丑,차분한 직관관리형,,차분한 직관관리형
351,巳,甲寅,집중력 있는 주도실행형,,집중력 있는 주도실행형
352,巳,乙卯,민첩한 관계확장형,,민첩한 관계확장형
353,巳,丙辰,열정적인 표현설계형,,열정적인 표현설계형
354,巳,丁巳,집중력 있는 집중표현형,,집중력 있는 집중표현형
355,巳,戊午,실용적인 운영주도형,,실용적인 운영주도형
356,巳,己未,민첩한 안정조율형,,민첩한 안정조율형
357,巳,庚申,실행력 있는 문제해결형,,실행력 있는 문제해결형
358,巳,辛酉,예리한 가치판단형,,예리한 가치판단형
359,巳,壬戌,민첩한 장기전략형,,민첩한 장기전략형
360,巳,癸亥,차분한 통찰형,,차분한 통찰형
361,午,甲子,주도적인 자기주도형,,주도적인 자기주도형
362,午,乙丑,소통에 강한 관계조율형,,소통에 강한 관계조율형
363,午,丙寅,존재감 있는 추진형,,존재감 있는 추진형
364,午,丁卯,열정적인 감정표현형,,열정적인 감정표현형
365,午,戊辰,뚜렷한 운영형,,뚜렷한 운영형
366,午,己巳,책임감 있는 실무형,,책임감 있는 실무형
367,午,庚午,단호한 실행결단형,,단호한 실행결단형
368,午,辛未,자기관리가 좋은 가치관리형,,자기관리가 좋은 가치관리형
369,午,壬申,영향력 있는 정보전략형,,영향력 있는 정보전략형
370,午,癸酉,섬세한 관찰분석형,,섬세한 관찰분석형
371,午,甲戌,주도적인 원칙개척형,,주도적인 원칙개척형
372,午,乙亥,소통에 강한 관계공감형,,소통에 강한 관계공감형
373,午,丙子,존재감 있는 표현준비형,,존재감 있는 표현준비형
374,午,丁丑,열정적인 감정관리형,,열정적인 감정관리형
375,午,戊寅,뚜렷한 기반구축형,,뚜렷한 기반구축형
376,午,己卯,책임감 있는 관계관리형,,책임감 있는 관계관리형
377,午,庚辰,단호한 구조해결형,,단호한 구조해결형
378,午,辛巳,자기관리가 좋은 가치표현형,,자기관리가 좋은 가치표현형
379,午,壬午,영향력 있는 영향전략형,,영향력 있는 영향전략형
380,午,癸未,섬세한 의미정리형,,섬세한 의미정리형
381,午,甲申,주도적인 기회판단형,,주도적인 기회판단형
382,午,乙酉,소통에 강한 관계판단형,,소통에 강한 관계판단형
383,午,丙戌,존재감 있는 책임표현형,,존재감 있는 책임표현형
384,午,丁亥,열정적인 감정이해형,,열정적인 감정이해형
385,午,戊子,뚜렷한 현실설계형,,뚜렷한 현실설계형
386,午,己丑,책임감 있는 관리형,,책임감 있는 관리형
387,午,庚寅,단호한 실행추진형,,단호한 실행추진형
388,午,辛卯,자기관리가 좋은 표현기준형,,자기관리가 좋은 표현기준형
389,午,壬辰,영향력 있는 상황분석형,,영향력 있는 상황분석형
390,午,癸巳,섬세한 설득형,,섬세한 설득형
391,午,甲午,주도적인 자기확장형,,주도적인 자기확장형
392,午,乙未,소통에 강한 관계지속형,,소통에 강한 관계지속형
393,午,丙申,존재감 있는 표현전략형,,존재감 있는 표현전략형
394,午,丁酉,열정적인 감정정리형,,열정적인 감정정리형
395,午,戊戌,뚜렷한 책임관리형,,뚜렷한 책임관리형
396,午,己亥,책임감 있는 현실조율형,,책임감 있는 현실조율형
397,午,庚子,단호한 판단결단형,,단호한 판단결단형
398,午,辛丑,자기관리가 좋은 기준관리형,,자기관리가 좋은 기준관리형
399,午,壬寅,영향력 있는 사고확장형,,영향력 있는 사고확장형
400,午,癸卯,섬세한 관찰형,,섬세한 관찰형
401,午,甲辰,주도적인 개척설계형,,주도적인 개척설계형
402,午,乙巳,소통에 강한 표현형,,소통에 강한 표현형
403,午,丙午,존재감 있는 주도표현형,,존재감 있는 주도표현형
404,午,丁未,열정적인 감정운영형,,열정적인 감정운영형
405,午,戊申,뚜렷한 구조개선형,,뚜렷한 구조개선형
406,午,己酉,책임감 있는 실무정리형,,책임감 있는 실무정리형
407,午,庚戌,단호한 실행관리형,,단호한 실행관리형
408,午,辛亥,자기관리가 좋은 가치이해형,,자기관리가 좋은 가치이해형
409,午,壬子,영향력 있는 정보감각형,,영향력 있는 정보감각형
410,午,癸丑,섬세한 직관관리형,,섬세한 직관관리형
411,午,甲寅,주도적인 주도실행형,,주도적인 주도실행형
412,午,乙卯,소통에 강한 관계확장형,,소통에 강한 관계확장형
413,午,丙辰,존재감 있는 표현설계형,,존재감 있는 표현설계형
414,午,丁巳,열정적인 집중표현형,,열정적인 집중표현형
415,午,戊午,뚜렷한 운영주도형,,뚜렷한 운영주도형
416,午,己未,책임감 있는 안정조율형,,책임감 있는 안정조율형
417,午,庚申,단호한 문제해결형,,단호한 문제해결형
418,午,辛酉,자기관리가 좋은 가치판단형,,자기관리가 좋은 가치판단형
419,午,壬戌,영향력 있는 장기전략형,,영향력 있는 장기전략형
420,午,癸亥,섬세한 통찰형,,섬세한 통찰형
421,未,甲子,신중한 자기주도형,,신중한 자기주도형
