번호,일간,월령,한글명,월령본기십신,압축유형,핵심성정,겉성격,속기질,강점기질,그림자기질
18,乙,未,을목 미월,편재,생활 책임형 조율자,선택적 친화 · 유연함 · 생활성 · 책임감 · 외향성 · 기회 감각,부드러움 · 예의 바름 · 배려 · 차분함 · 사교적,경쟁심 · 질투심 · 소유욕 · 미안함 · 권태,조율력 · 미감 · 지속 · 생활 감각 · 사업 감각,우회성 · 거절 지연 · 잔소리 · 미련 · 과소비
19,乙,申,을목 신월,정관,실전 적응형 조율자,유연함 · 관계 감각 · 기민함 · 경쟁성 · 책임 · 평판 의식,예의 바름 · 눈치 빠름 · 현실적 · 재치 · 단정함,질투심 · 선택받고 싶은 마음 · 생존 본능 · 승부욕 · 체면,미감 · 세밀함 · 적응 · 전략 · 규율,거절 지연 · 관계 의존 · 냉정함 · 산만함 · 경직
20,乙,酉,을목 유월,편관,완성도 집착형 조율자,관계 감각 · 적응력 · 완성도 · 심미성 · 통제성 · 긴장감,눈치 빠름 · 완곡함 · 세련됨 · 예의 · 강단,선택받고 싶은 마음 · 예민함 · 상처 민감 · 우월감 · 압박감,세밀함 · 협상력 · 분별 · 품질 감각 · 위기 대응,관계 의존 · 비교 의식 · 비판 · 자존심 · 공격성
21,乙,戌,을목 술월,정재,원칙 고수형 조율자,적응력 · 생존력 · 충성심 · 고집 · 실속 · 안정,완곡함 · 친근함 · 무게감 · 보수적 · 성실함,예민함 · 관계 불안 · 고독 · 의심 · 생활 집착,협상력 · 환경 적응 · 의리 · 지속 · 관리,비교 의식 · 속앓이 · 완고함 · 복수심 · 보수성
22,乙,亥,을목 해월,정인,감성 유랑형 조율자,생존력 · 세련됨 · 자유성 · 상상력 · 보호성 · 사려 깊음,친근함 · 부드러움 · 유연함 · 낭만적 · 온화함,관계 불안 · 경쟁심 · 현실 회피 · 이상화 · 걱정,환경 적응 · 조율력 · 창의성 · 공감 · 학습,속앓이 · 우회성 · 방황 · 회피 · 생각 과다
23,乙,子,을목 자월,편인,내면 계산형 조율자,세련됨 · 선택적 친화 · 은밀함 · 적응성 · 몰입 · 직관,부드러움 · 예의 바름 · 빠른 두뇌 · 신중함 · 신비감,경쟁심 · 질투심 · 질투 · 비밀 · 고독,조율력 · 미감 · 기억력 · 전략 · 통찰,우회성 · 거절 지연 · 이중성 · 감정 기복 · 현실 회피
24,乙,丑,을목 축월,편재,축적 인내형 조율자,선택적 친화 · 유연함 · 저장성 · 보수성 · 외향성 · 기회 감각,예의 바름 · 눈치 빠름 · 묵묵함 · 차분함 · 사교적,질투심 · 선택받고 싶은 마음 · 원망 축적 · 미련 · 권태,미감 · 세밀함 · 버팀 · 절약 · 사업 감각,거절 지연 · 관계 의존 · 속앓이 · 완고함 · 과소비
25,丙,寅,병화 인월,편인,초기 돌파형 선도자,밝음 · 확장성 · 개척성 · 성장 충동 · 몰입 · 직관,활발함 · 직설적 · 선점 욕구 · 도전적 · 신비감,인정욕구 · 외로움 · 앞서가려는 마음 · 경쟁 의식 · 고독,표현력 · 설득력 · 용기 · 선도 · 통찰,과열 · 허영 · 마무리 약화 · 충돌 · 현실 회피
26,丙,卯,병화 묘월,정인,관계 확장형 선도자,확장성 · 표현욕 · 미감 · 경쟁성 · 학습성 · 보호성,직설적 · 호방함 · 활발한 교류 · 부드러운 경쟁 · 온화함,외로움 · 체면 의식 · 소유욕 · 관계 예민 · 걱정,설득력 · 리더십 · 심미성 · 확산력 · 학습,허영 · 말실수 · 분산 · 주도권 다툼 · 생각 과다
27,丙,辰,병화 진월,식신,현실 설계형 선도자,표현욕 · 낙관성 · 축적성 · 전환성 · 생산성 · 낙천성,호방함 · 사교적 · 중후함 · 상황 관찰 · 편안함,체면 의식 · 반응 민감 · 욕심 · 결정 지연 · 안정 욕구,리더십 · 분위기 장악 · 현실 감각 · 잠재력 · 창작,말실수 · 성급함 · 집착 · 정리 지연 · 안일함
28,丙,巳,병화 사월,비견,기민한 야심형 선도자,낙관성 · 주목성 · 표현성 · 계산성 · 동등 의식 · 자기중심,사교적 · 자신감 · 사회적 감각 · 세련된 대응 · 당당함,반응 민감 · 자존심 · 숨은 경쟁 · 성과 압박 · 양보 거부,분위기 장악 · 낙관적 추진 · 집중 · 전략 · 자립,성급함 · 사과 지연 · 조급함 · 집착 · 고집
29,丙,午,병화 오월,겁재,강한 존재감형 선도자,주목성 · 개방성 · 자존심 · 감정성 · 경쟁 · 대중성,자신감 · 활발함 · 강한 표현 · 활동적,자존심 · 인정욕구 · 외로움 · 체면 의식 · 빼앗김 불안,낙관적 추진 · 표현력 · 추진 · 매력 · 네트워크,사과 지연 · 과열 · 감정 폭발 · 허영 · 충동
30,丙,未,병화 미월,상관,생활 책임형 선도자,개방성 · 밝음 · 책임감 · 축적성 · 반항성 · 비판성,활발함 · 직설적 · 차분함 · 신뢰감 · 재치,인정욕구 · 외로움 · 미안함 · 관계 집착 · 권위 반감,표현력 · 설득력 · 생활 감각 · 조율 · 언변,과열 · 허영 · 미련 · 간섭 · 말실수
31,丙,申,병화 신월,편재,실전 적응형 선도자,밝음 · 확장성 · 경쟁성 · 변응성 · 활동 범위 · 외향성,직설적 · 호방함 · 재치 · 냉정한 대응 · 사교적,외로움 · 체면 의식 · 승부욕 · 권태,설득력 · 리더십 · 전략 · 효율 · 사업 감각,허영 · 말실수 · 산만함 · 관계 단절 · 과소비
32,丙,酉,병화 유월,정재,완성도 집착형 선도자,확장성 · 표현욕 · 심미성 · 비판성 · 실속 · 안정,호방함 · 사교적 · 예의 · 냉정한 인상 · 성실함,체면 의식 · 반응 민감 · 우월감 · 고독 · 생활 집착,리더십 · 분위기 장악 · 품질 감각 · 표현 정제 · 관리,말실수 · 성급함 · 자존심 · 관계 냉각 · 보수성
33,丙,戌,병화 술월,식신,원칙 고수형 선도자,표현욕 · 낙관성 · 고집 · 통제성 · 생산성 · 낙천성,사교적 · 자신감 · 보수적 · 신뢰감 · 편안함,반응 민감 · 자존심 · 의심 · 자기 방어 · 안정 욕구,분위기 장악 · 낙관적 추진 · 지속 · 원칙 · 창작,성급함 · 사과 지연 · 복수심 · 고립 · 안일함
34,丙,亥,병화 해월,편관,감성 유랑형 선도자,낙관성 · 주목성 · 상상력 · 방랑성 · 통제성 · 긴장감,자신감 · 활발함 · 낭만적 · 편안한 인상 · 강단,자존심 · 인정욕구 · 이상화 · 경계 약화 · 압박감,낙관적 추진 · 표현력 · 공감 · 확장된 시야 · 위기 대응,사과 지연 · 과열 · 회피 · 정착 부족 · 공격성
35,丙,子,병화 자월,정관,내면 계산형 선도자,주목성 · 개방성 · 적응성 · 욕망 · 질서 · 책임,활발함 · 직설적 · 신중함 · 유연한 대응 · 단정함,인정욕구 · 외로움 · 비밀 · 생존 본능 · 체면,표현력 · 설득력 · 전략 · 상황 판단 · 규율,과열 · 허영 · 감정 기복 · 욕망 과다 · 경직
36,丙,丑,병화 축월,상관,축적 인내형 선도자,개방성 · 밝음 · 보수성 · 신중함 · 반항성 · 비판성,직설적 · 호방함 · 차분함 · 안정적 · 재치,외로움 · 체면 의식 · 미련 · 손실 공포 · 권위 반감,설득력 · 리더십 · 절약 · 지속 · 언변,허영 · 말실수 · 완고함 · 기회 지연
37,丁,寅,정화 인월,정인,초기 돌파형 감응자,섬세함 · 집중력 · 성장 충동 · 직진성 · 학습성 · 보호성,차분함 · 단정함 · 도전적 · 빠른 출발 · 온화함,질투심 · 불안 · 경쟁 의식 · 조급함 · 걱정,집중력 · 감성 표현 · 선도 · 초기 추진 · 학습,예민함 · 속앓이 · 충돌 · 성급함 · 생각 과다
38,丁,卯,정화 묘월,편인,관계 확장형 감응자,집중력 · 감응력 · 경쟁성 · 선택받고 싶은 마음 · 독특성 · 몰입,단정함 · 부드러운 말투 · 부드러운 경쟁 · 친화적 · 신비감,불안 · 상처 민감 · 관계 예민 · 질투 · 고독,감성 표현 · 정밀함 · 확산력 · 대인 감각 · 통찰,속앓이 · 관계 시험 · 주도권 다툼 · 관계 소모 · 현실 회피
39,丁,辰,정화 진월,상관,현실 설계형 감응자,감응력 · 심미성 · 전환성 · 잠재 욕망 · 비판성 · 표현성,부드러운 말투 · 신중함 · 상황 관찰 · 재치,상처 민감 · 집착 · 결정 지연 · 모순 · 권위 반감,정밀함 · 공감력 · 잠재력 · 기획 정리 · 언변,관계 시험 · 감정 과열 · 정리 지연 · 복잡함 · 말실수
40,丁,巳,정화 사월,겁재,기민한 야심형 감응자,심미성 · 내밀함 · 계산성 · 집중력 · 경쟁 · 대중성,신중함 · 은은한 존재감 · 세련된 대응 · 재치 · 활동적,집착 · 인정 갈망 · 성과 압박 · 질투 · 빼앗김 불안,공감력 · 완성도 · 전략 · 순발력 · 네트워크,감정 과열 · 뒤끝 · 집착 · 과열 · 충동
41,丁,午,정화 오월,비견,강한 존재감형 감응자,내밀함 · 정서적 깊이 · 감정성 · 주도성 · 독립 · 동등 의식,은은한 존재감 · 차분함 · 강한 표현 · 화려함 · 당당함,인정 갈망 · 질투심 · 체면 의식 · 양보 거부,완성도 · 집중력 · 매력 · 리더십 · 자립,뒤끝 · 예민함 · 허영 · 과열 · 고집
42,丁,未,정화 미월,식신,생활 책임형 감응자,정서적 깊이 · 섬세함 · 축적성 · 정서적 끈기 · 낙천성 · 여유,차분함 · 단정함 · 신뢰감 · 온화함 · 편안함,질투심 · 불안 · 관계 집착 · 서운함 · 안정 욕구,집중력 · 감성 표현 · 조율 · 돌봄 · 창작,예민함 · 속앓이 · 간섭 · 희생 집착 · 안일함
43,丁,申,정화 신월,정재,실전 적응형 감응자,섬세함 · 집중력 · 변응성 · 계산성 · 실속 · 안정,단정함 · 부드러운 말투 · 냉정한 대응 · 빠른 판단 · 성실함,불안 · 상처 민감 · 권태 · 불신 · 생활 집착,감성 표현 · 정밀함 · 효율 · 문제 해결 · 관리,속앓이 · 관계 시험 · 관계 단절 · 기회주의 · 보수성
44,丁,酉,정화 유월,편재,완성도 집착형 감응자,집중력 · 감응력 · 비판성 · 자기 가치 · 기회 감각 · 활동 범위,부드러운 말투 · 신중함 · 냉정한 인상 · 단정함 · 사교적,상처 민감 · 집착 · 고독 · 비교 · 권태,정밀함 · 공감력 · 표현 정제 · 안목 · 사업 감각,관계 시험 · 감정 과열 · 관계 냉각 · 까다로움 · 과소비
45,丁,戌,정화 술월,상관,원칙 고수형 감응자,감응력 · 심미성 · 통제성 · 책임 의식 · 비판성 · 표현성,신중함 · 은은한 존재감 · 신뢰감 · 강직함 · 재치,집착 · 인정 갈망 · 자기 방어 · 분노 축적 · 권위 반감,공감력 · 완성도 · 원칙 · 책임 · 언변,감정 과열 · 뒤끝 · 고립 · 독선 · 말실수
46,丁,亥,정화 해월,정관,감성 유랑형 감응자,심미성 · 내밀함 · 방랑성 · 정서적 깊이 · 질서 · 책임,은은한 존재감 · 차분함 · 편안한 인상 · 부드러움 · 단정함,인정 갈망 · 질투심 · 경계 약화 · 외로움 · 체면,완성도 · 집중력 · 확장된 시야 · 직관 · 규율,뒤끝 · 예민함 · 정착 부족 · 감정 의존 · 경직
47,丁,子,정화 자월,편관,내면 계산형 감응자,내밀함 · 정서적 깊이 · 욕망 · 감정 축적 · 승부욕 · 통제성,차분함 · 단정함 · 유연한 대응 · 강단,질투심 · 불안 · 생존 본능 · 압박감,집중력 · 감성 표현 · 상황 판단 · 정보 감각 · 위기 대응,예민함 · 속앓이 · 욕망 과다 · 의심 · 공격성
48,丁,丑,정화 축월,식신,축적 인내형 감응자,정서적 깊이 · 섬세함 · 신중함 · 생활 고집 · 낙천성 · 여유,단정함 · 부드러운 말투 · 안정적 · 느림 · 편안함,불안 · 상처 민감 · 손실 공포 · 걱정 · 안정 욕구,감성 표현 · 정밀함 · 지속 · 축적 · 창작,속앓이 · 관계 시험 · 기회 지연 · 변화 저항 · 안일함
49,戊,寅,무토 인월,편관,초기 돌파형 중심축,중후함 · 책임감 · 직진성 · 시작성 · 승부욕 · 통제성,침착함 · 묵직함 · 빠른 출발 · 적극성 · 강단,통제욕 · 소유욕 · 조급함 · 미숙한 자신감 · 압박감,버팀 · 관리력 · 초기 추진 · 개척 · 위기 대응,고집 · 독단 · 성급함 · 과신 · 공격성
50,戊,卯,무토 묘월,정관,관계 확장형 중심축,책임감 · 안정성 · 선택받고 싶은 마음 · 확장성 · 평판 의식 · 질서,묵직함 · 신뢰감 · 친화적 · 세련됨 · 단정함,소유욕 · 불안한 책임감 · 질투 · 비교 · 체면,관리력 · 조직력 · 대인 감각 · 네트워크 · 규율,독단 · 변화 저항 · 관계 소모 · 질투 · 경직
51,戊,辰,무토 진월,비견,현실 설계형 중심축,안정성 · 포용력 · 잠재 욕망 · 복합성 · 자기중심 · 독립,신뢰감 · 느긋함 · 신중함 · 계획성 · 당당함,불안한 책임감 · 자존심 · 모순 · 미련 · 양보 거부,조직력 · 현실 판단 · 기획 정리 · 자원 결합 · 자립,변화 저항 · 감정 억압 · 복잡함 · 우유부단 · 고집
52,戊,巳,무토 사월,편인,기민한 야심형 중심축,포용력 · 영역 의식 · 집중력 · 기민함 · 독특성 · 몰입,느긋함 · 권위감 · 재치 · 빠른 말 · 신비감,자존심 · 완고함 · 질투 · 초조함 · 고독,현실 판단 · 책임 수행 · 순발력 · 설득 · 통찰,감정 억압 · 과잉 책임 · 과열 · 이중성 · 현실 회피
53,戊,午,무토 오월,정인,강한 존재감형 중심축,영역 의식 · 현실성 · 주도성 · 열정 · 사려 깊음 · 학습성,권위감 · 침착함 · 화려함 · 직설적 · 온화함,완고함 · 통제욕 · 인정 갈망 · 질투 · 걱정,책임 수행 · 버팀 · 리더십 · 표현력 · 학습,과잉 책임 · 고집 · 과열 · 독단 · 생각 과다
54,戊,未,무토 미월,겁재,생활 책임형 중심축,현실성 · 중후함 · 정서적 끈기 · 돌봄성 · 경쟁 · 대중성,침착함 · 묵직함 · 온화함 · 배려 · 활동적,통제욕 · 소유욕 · 서운함 · 빼앗김 불안,버팀 · 관리력 · 돌봄 · 지속 · 네트워크,고집 · 독단 · 희생 집착 · 잔소리 · 충동
55,戊,申,무토 신월,식신,실전 적응형 중심축,중후함 · 책임감 · 계산성 · 실전성 · 생산성 · 낙천성,묵직함 · 신뢰감 · 빠른 판단 · 현실적 · 편안함,소유욕 · 불안한 책임감 · 불신 · 생존 본능 · 안정 욕구,관리력 · 조직력 · 문제 해결 · 적응 · 창작,독단 · 변화 저항 · 기회주의 · 냉정함 · 안일함
56,戊,酉,무토 유월,상관,완성도 집착형 중심축,책임감 · 안정성 · 자기 가치 · 정교함 · 비판성 · 표현성,신뢰감 · 느긋함 · 단정함 · 세련됨 · 재치,불안한 책임감 · 자존심 · 비교 · 상처 민감 · 권위 반감,조직력 · 현실 판단 · 안목 · 분별 · 언변,변화 저항 · 감정 억압 · 까다로움 · 비판 · 말실수
57,戊,戌,무토 술월,비견,원칙 고수형 중심축,안정성 · 포용력 · 책임 의식 · 원칙성 · 자기중심 · 독립,느긋함 · 권위감 · 강직함 · 무게감 · 당당함,자존심 · 완고함 · 분노 축적 · 고독 · 양보 거부,현실 판단 · 책임 수행 · 책임 · 의리 · 자립,감정 억압 · 과잉 책임 · 독선 · 완고함 · 고집
58,戊,亥,무토 해월,편재,감성 유랑형 중심축,포용력 · 영역 의식 · 정서적 깊이 · 감수성 · 기회 감각 · 활동 범위,권위감 · 침착함 · 부드러움 · 유연함 · 사교적,완고함 · 통제욕 · 외로움 · 현실 회피 · 권태,책임 수행 · 버팀 · 직관 · 창의성 · 사업 감각,과잉 책임 · 고집 · 감정 의존 · 방황 · 과소비
59,戊,子,무토 자월,정재,내면 계산형 중심축,영역 의식 · 현실성 · 감정 축적 · 지성 · 소유 의식 · 실속,침착함 · 묵직함 · 차분함 · 빠른 두뇌 · 성실함,통제욕 · 소유욕 · 불안 · 질투 · 생활 집착,버팀 · 관리력 · 정보 감각 · 기억력 · 관리,고집 · 독단 · 의심 · 이중성 · 보수성
60,戊,丑,무토 축월,겁재,축적 인내형 중심축,현실성 · 중후함 · 생활 고집 · 인내 · 경쟁 · 대중성,묵직함 · 신뢰감 · 느림 · 묵묵함 · 활동적,소유욕 · 불안한 책임감 · 걱정 · 원망 축적 · 빼앗김 불안,관리력 · 조직력 · 축적 · 버팀 · 네트워크,독단 · 변화 저항 · 속앓이 · 충동
61,己,寅,기토 인월,정관,초기 돌파형 관리자,실무성 · 돌봄성 · 시작성 · 돌파성 · 평판 의식 · 질서,친절함 · 겸손함 · 적극성 · 선점 욕구 · 단정함,계산성 · 걱정 · 미숙한 자신감 · 앞서가려는 마음 · 체면,관리력 · 정리력 · 개척 · 용기 · 규율,잔걱정 · 속으로 쌓음 · 과신 · 마무리 약화 · 경직
62,己,卯,기토 묘월,편관,관계 확장형 관리자,돌봄성 · 조율력 · 확장성 · 관계성 · 긴장감 · 승부욕,겸손함 · 세심함 · 세련됨 · 활발한 교류 · 강단,걱정 · 미안함 · 비교 · 소유욕 · 압박감,정리력 · 돌봄 · 네트워크 · 심미성 · 위기 대응,속으로 쌓음 · 거절 지연 · 질투 · 분산 · 공격성
63,己,辰,기토 진월,겁재,현실 설계형 관리자,조율력 · 축적성 · 복합성 · 현실화 · 대중성 · 사람 욕구,세심함 · 무난함 · 계획성 · 중후함 · 활동적,미안함 · 인정 욕구 · 미련 · 욕심 · 빼앗김 불안,돌봄 · 적응력 · 자원 결합 · 현실 감각 · 네트워크,거절 지연 · 간섭 · 우유부단 · 집착 · 충동
64,己,巳,기토 사월,정인,기민한 야심형 관리자,축적성 · 생활 감각 · 기민함 · 야심 · 사려 깊음 · 학습성,무난함 · 현실적 태도 · 빠른 말 · 사회적 감각 · 온화함,인정 욕구 · 은근한 통제 · 초조함 · 숨은 경쟁 · 걱정,적응력 · 지속력 · 설득 · 집중 · 학습,간섭 · 수동적 불만 · 이중성 · 조급함 · 생각 과다
65,己,午,기토 오월,편인,강한 존재감형 관리자,생활 감각 · 신중함 · 열정 · 존재감 · 직관 · 독특성,현실적 태도 · 친절함 · 직설적 · 활발함 · 신비감,은근한 통제 · 계산성 · 질투 · 외로움 · 고독,지속력 · 관리력 · 표현력 · 추진 · 통찰,수동적 불만 · 잔걱정 · 독단 · 감정 폭발 · 현실 회피
66,己,未,기토 미월,비견,생활 책임형 관리자,신중함 · 실무성 · 돌봄성 · 생활성 · 독립 · 동등 의식,친절함 · 겸손함 · 배려 · 차분함 · 당당함,계산성 · 걱정 · 소유욕 · 미안함 · 양보 거부,관리력 · 정리력 · 지속 · 생활 감각 · 자립,잔걱정 · 속으로 쌓음 · 잔소리 · 미련 · 고집
67,己,申,기토 신월,상관,실전 적응형 관리자,실무성 · 돌봄성 · 실전성 · 기민함 · 비판성 · 표현성,겸손함 · 세심함 · 현실적 · 재치,걱정 · 미안함 · 생존 본능 · 승부욕 · 권위 반감,정리력 · 돌봄 · 적응 · 전략 · 언변,속으로 쌓음 · 거절 지연 · 냉정함 · 산만함 · 말실수
68,己,酉,기토 유월,식신,완성도 집착형 관리자,돌봄성 · 조율력 · 정교함 · 완성도 · 여유 · 생산성,세심함 · 무난함 · 세련됨 · 예의 · 편안함,미안함 · 인정 욕구 · 상처 민감 · 우월감 · 안정 욕구,돌봄 · 적응력 · 분별 · 품질 감각 · 창작,거절 지연 · 간섭 · 비판 · 자존심 · 안일함
69,己,戌,기토 술월,겁재,원칙 고수형 관리자,조율력 · 축적성 · 원칙성 · 충성심 · 대중성 · 사람 욕구,무난함 · 현실적 태도 · 무게감 · 보수적 · 활동적,인정 욕구 · 은근한 통제 · 고독 · 의심 · 빼앗김 불안,적응력 · 지속력 · 의리 · 지속 · 네트워크,간섭 · 수동적 불만 · 완고함 · 복수심 · 충동
70,己,亥,기토 해월,정재,감성 유랑형 관리자,축적성 · 생활 감각 · 감수성 · 자유성 · 소유 의식 · 실속,현실적 태도 · 친절함 · 유연함 · 낭만적 · 성실함,은근한 통제 · 계산성 · 현실 회피 · 이상화 · 생활 집착,지속력 · 관리력 · 창의성 · 공감 · 관리,수동적 불만 · 잔걱정 · 방황 · 회피 · 보수성
71,己,子,기토 자월,편재,내면 계산형 관리자,생활 감각 · 신중함 · 지성 · 은밀함 · 외향성 · 기회 감각,친절함 · 겸손함 · 빠른 두뇌 · 신중함 · 사교적,계산성 · 걱정 · 질투 · 비밀 · 권태,관리력 · 정리력 · 기억력 · 전략 · 사업 감각,잔걱정 · 속으로 쌓음 · 이중성 · 감정 기복 · 과소비
72,己,丑,기토 축월,비견,축적 인내형 관리자,신중함 · 실무성 · 인내 · 저장성 · 독립 · 동등 의식,겸손함 · 세심함 · 묵묵함 · 차분함 · 당당함,걱정 · 미안함 · 원망 축적 · 미련 · 양보 거부,정리력 · 돌봄 · 버팀 · 절약 · 자립,속으로 쌓음 · 거절 지연 · 속앓이 · 완고함 · 고집
