번호,일주,한글명,압축유형,핵심성정,겉성격,속기질,강점기질,그림자기질
20,癸未,계미일주,조용한 책임형,배려 · 감수성 · 책임감 · 생활성 · 인내,부드러움 · 차분함 · 친절함 · 세심함,미안함 · 서운함 · 자기희생 · 관계 집착,돌봄 · 조율력 · 지속력 · 공감력,거절 지연 · 희생 강박 · 속앓이 · 수동적 분노
21,甲申,갑신일주,꺾일수록 강해지는 전투형,경쟁성 · 경계심 · 개척성 · 독립심 · 생존력,빠른 판단 · 단호함 · 도전적 · 거친 솔직함,통제 거부 · 패배 불안 · 불신 · 분노,위기 대응 · 전략성 · 실행력 · 회복력,공격성 · 관계 단절 · 과신 · 늘 전투 태세
22,乙酉,을유일주,부드러운 외형의 냉정형,세련됨 · 선택성 · 관계 감각 · 경쟁심 · 심미성,예의 바름 · 부드러움 · 단정함 · 친화적,비교 · 질투 · 인정 갈망 · 상처 민감,미감 · 협상력 · 안목 · 사회적 센스,관계 계산 · 우회적 공격 · 자존심 과민 · 변심
23,丙戌,병술일주,화려함 뒤의 고독형,표현성 · 의리 · 자존심 · 책임감 · 강한 기세,호방함 · 말 잘함 · 당당함 · 사교적,외로움 · 분노 축적 · 명예욕 · 체면,리더십 · 표현력 · 조직력 · 지속 의지,욱함 · 독선 · 사과 지연 · 감정 폭발
24,丁亥,정해일주,깊은 직관의 불안형,직관성 · 감수성 · 상상력 · 내밀함 · 집중력,조용함 · 부드러움 · 신비감 · 신중함,불안 · 이상화 · 의심 · 관계 갈망,통찰 · 창작력 · 공감 · 몰입,현실 회피 · 과도한 추측 · 감정 침잠 · 결정 지연
25,戊子,무자일주,현실과 안전을 붙드는 형,현실성 · 신중함 · 재물 감각 · 책임감 · 안정 욕구,차분함 · 묵직함 · 이성적 · 관찰형,손실 공포 · 통제욕 · 소유욕 · 감정 억압,관리력 · 축적력 · 장기 판단 · 버팀,보수성 · 변화 지연 · 감정 냉각 · 돈 집착
26,己丑,기축일주,느리지만 무너지지 않는 형,인내 · 축적성 · 생활성 · 보수성 · 성실함,과묵함 · 차분함 · 성실함 · 무난함,미련 · 걱정 · 완고함 · 손실 불안,지속력 · 관리력 · 절약 · 근면,변화 저항 · 속앓이 · 답답함 · 기회 지연
27,庚寅,경인일주,정면 돌파형,대담함 · 결단력 · 모험성 · 승부욕 · 개척성,거침없음 · 직설적 · 활동적 · 도전적,패배 불안 · 자존심 · 분노 · 자유 욕구,실행력 · 개척력 · 결단 · 경쟁력,성급함 · 공격성 · 무리한 승부 · 관계 절단
28,辛卯,신묘일주,취향과 안목의 관계형,심미성 · 선택성 · 친화성 · 분별력 · 세련됨,부드러움 · 단정함 · 말 센스 · 친근함,비교 의식 · 질투 · 자기 가치 집착 · 관계 예민,안목 · 미감 · 협상력 · 표현 정제,평가 집착 · 까다로움 · 관계 소모 · 변심
29,壬辰,임진일주,큰 욕망을 품은 통제형,카리스마 · 전략성 · 야심 · 중후함 · 통제성,침착함 · 대범함 · 말수 적음 · 권위감,의심 · 분노 축적 · 소유욕 · 큰 욕망,위기 관리 · 조직력 · 전략 · 큰 그림,권력 집착 · 복수심 · 독단 · 감정 폭발
30,癸巳,계사일주,영리한 매력형,기민함 · 사교성 · 계산성 · 감수성 · 야심,눈치 빠름 · 세련됨 · 유연함 · 말 센스,불신 · 비밀주의 · 초조함 · 인정 욕구,상황 판단 · 협상력 · 적응력 · 표현 감각,이중성 · 관계 시험 · 욕심 분산 · 신뢰 약화
31,甲午,갑오일주,말과 기세의 추진형,표현성 · 개척성 · 열정 · 자존심 · 자유성,활발함 · 직설적 · 빠른 행동 · 당당함,인정 갈망 · 조급함 · 체면 · 권태,설득력 · 추진력 · 리더십 · 표현력,말실수 · 성급함 · 과열 · 마무리 약화
32,乙未,을미일주,생활을 키우는 관계형,배려 · 생활 감각 · 유연함 · 정서성 · 책임감,온화함 · 친화적 · 세심함 · 안정적,보답 기대 · 서운함 · 소유욕 · 관계 집착,돌봄 · 조율력 · 현실 감각 · 지속력,희생 집착 · 거절 지연 · 미련 · 간섭
33,丙申,병신일주,빠른 시장 감각형,기민함 · 현실 감각 · 표현성 · 적응력 · 성과욕,밝음 · 말 빠름 · 재치 · 활동적,권태 · 기회 집착 · 불신 · 인정 욕구,순발력 · 시장 감각 · 설득 · 전환력,산만함 · 기회주의 · 마무리 약화 · 관계 소모
34,丁酉,정유일주,세련된 매력형,심미성 · 매력 · 표현성 · 정교함 · 선택성,세련됨 · 친절함 · 말 센스 · 단정함,허영 · 비교 · 질투 · 자기 가치 집착,미감 · 브랜딩 감각 · 표현력 · 안목,과시 · 관계 계산 · 감정 기복 · 평가 집착
35,戊戌,무술일주,굽히지 않는 원칙형,강직함 · 책임감 · 완고함 · 의리 · 권위성,묵직함 · 단호함 · 보수적 · 신뢰감,분노 축적 · 고독 · 통제욕 · 명예욕,버팀 · 조직력 · 원칙 · 위기 대응,독선 · 고립 · 사과 지연 · 손절 지연
36,己亥,기해일주,현실과 감정의 혼합형,다정함 · 적응력 · 생활성 · 감수성 · 신중함,부드러움 · 친절함 · 차분함 · 수용적,불안 · 의존 욕구 · 걱정 · 경계 약화,돌봄 · 조율력 · 현실 감각 · 공감,관계 의존 · 우유부단 · 희생 · 감정 침잠
37,庚子,경자일주,날카로운 지성형,지성 · 직선성 · 비판성 · 기민함 · 독립성,냉정함 · 말 빠름 · 직설적 · 논리적,분노 · 인정 욕구 · 감정 억압 · 불신,분석력 · 언변 · 기술성 · 문제 해결,독설 · 냉소 · 관계 절단 · 과잉 논리
38,辛丑,신축일주,시간을 견디는 정밀형,인내 · 정밀함 · 신중함 · 품위 · 축적성,과묵함 · 단정함 · 차분함 · 성실함,미련 · 의심 · 상처 기억 · 손실 공포,완성도 · 지속력 · 안목 · 절약,완벽 강박 · 변화 저항 · 뒤끝 · 기회 지연
39,壬寅,임인일주,넓게 뻗는 탐험형,호기심 · 자유성 · 개척성 · 표현성 · 확장성,활발함 · 사교적 · 낙관적 · 말 많음,권태 · 정착 거부 · 큰 욕망 · 인정 욕구,창의성 · 네트워크 · 기획력 · 전환력,산만함 · 책임 분산 · 마무리 약화 · 방랑
40,癸卯,계묘일주,부드러운 감성 표현형,감수성 · 친화성 · 심미성 · 표현성 · 유연함,다정함 · 말투 부드러움 · 세련됨 · 친근함,상처 민감 · 관계 갈망 · 질투 · 거절 불안,공감 · 창작력 · 언어 감각 · 조율력,감정 의존 · 우유부단 · 관계 소모 · 현실 회피
41,甲辰,갑진일주,꿈을 현실로 묶는 형,개척성 · 현실성 · 야심 · 기획성 · 소유 욕구,당당함 · 중후함 · 주도적 · 신중함,통제욕 · 미련 · 인정 욕구 · 큰 욕심,기획력 · 조직력 · 사업 감각 · 지속력,과잉 확장 · 손절 지연 · 독선 · 결정 지연
42,乙巳,을사일주,말과 센스의 야심형,기민함 · 유연함 · 사교성 · 표현성 · 야심,말 빠름 · 친근함 · 세련됨 · 재치,경쟁심 · 질투 · 인정 갈망 · 초조함,협상력 · 설득력 · 적응력 · 대인 감각,이중성 · 욕심 분산 · 관계 시험 · 신뢰 약화
43,丙午,병오일주,뜨거운 중심형,열정 · 주도성 · 자신감 · 표현욕 · 승부욕,화려함 · 직설적 · 활발함 · 강한 존재감,질투 · 외로움 · 명예욕 · 체면,리더십 · 표현력 · 추진력 · 카리스마,독단 · 감정 폭발 · 허영 · 과열
44,丁未,정미일주,따뜻한 고집형,돌봄 · 감수성 · 지속성 · 생활성 · 내면 고집,온화함 · 차분함 · 다정함 · 배려,서운함 · 보답 기대 · 소유욕 · 관계 집착,공감력 · 돌봄 · 완성도 · 지속력,희생 강박 · 간섭 · 속앓이 · 잔소리
45,戊申,무신일주,실무적 효율형,현실성 · 기민함 · 실용성 · 전략성 · 성과욕,차분함 · 빠른 판단 · 무뚝뚝함 · 효율적,불신 · 권태 · 통제욕 · 성과 압박,문제 해결 · 관리력 · 전략 · 기술 감각,감정 둔감 · 과로 · 사람을 도구화 · 산만함
46,己酉,기유일주,야무진 완성형,세밀함 · 생활 감각 · 정교함 · 성실함 · 선택성,깔끔함 · 친절함 · 단정함 · 현실적,비판성 · 비교 · 인정 욕구 · 잔걱정,정리력 · 품질 감각 · 관리력 · 지속력,잔소리 · 까다로움 · 간섭 · 수동적 불만
47,庚戌,경술일주,정의를 걸고 싸우는 형,원칙성 · 강직함 · 의리 · 결단력 · 자존심,단호함 · 묵직함 · 냉정함 · 책임감,복수심 · 분노 축적 · 명예욕 · 고독,위기 대응 · 절단력 · 통솔 · 지속 의지,독선 · 냉혹함 · 관계 전쟁 · 사과 지연
48,辛亥,신해일주,세련된 방랑형,감수성 · 심미성 · 자유성 · 지성 · 내밀함,세련됨 · 부드러움 · 지적 인상 · 거리감,외로움 · 정착 거부 · 이상화 · 자기 가치 집착,언어 감각 · 창의성 · 안목 · 직관,감정 방황 · 관계 회피 · 소비성 · 현실 이탈
49,壬子,임자일주,큰 욕망의 유동형,지성 · 자유성 · 욕망 · 적응력 · 네트워크성,유연함 · 사교적 · 재치 · 대범함,질투 · 비밀 · 소유욕 · 정착 거부,정보 감각 · 전략 · 대인 영향력 · 기회 포착,욕망 과다 · 관계 복잡 · 책임 분산 · 감정 기복
50,癸丑,계축일주,조용한 대비형,신중함 · 인내 · 관찰력 · 보수성 · 불안 관리,차분함 · 말수 적음 · 조심성 · 성실함,걱정 · 의심 · 손실 공포 · 미련,위험 감지 · 집중력 · 축적 · 지속력,과도한 대비 · 변화 저항 · 속앓이 · 기회 지연
51,甲寅,갑인일주,숲의 선두형,자기확신 · 개척성 · 주도성 · 독립심 · 성장욕,당당함 · 직선적 · 활동적 · 리더 기질,인정 갈망 · 지배 욕구 · 조급함 · 완고함,리더십 · 추진력 · 조직력 · 선도력,독선 · 과신 · 타협 부족 · 과잉 확장
52,乙卯,을묘일주,부드러운 경쟁형,친화성 · 심미성 · 경쟁심 · 유연함 · 소유 욕구,부드러움 · 세련됨 · 사교적 · 눈치 빠름,질투 · 비교 · 관계 불안 · 선택받고 싶은 마음,관계 감각 · 조율력 · 미감 · 확산력,우회적 갈등 · 관계 집착 · 분산 · 주도권 다툼
53,丙辰,병진일주,밝은 현실화형,낙관성 · 기획성 · 현실 감각 · 표현성 · 책임감,밝음 · 중후함 · 설명 잘함 · 사교적,성과 욕구 · 인정 갈망 · 과신 · 통제 욕구,기획력 · 설득력 · 조직력 · 현실화 능력,낙관 과잉 · 일 벌림 · 결정 지연 · 잔소리
54,丁巳,정사일주,숨은 불덩이형,집중력 · 야심 · 감응력 · 매력 · 승부욕,세련됨 · 차분한 자신감 · 말 센스 · 신비감,질투 · 집착 · 인정 갈망 · 통제욕,집중 · 표현력 · 전략성 · 매력,과열 · 비밀주의 · 관계 시험 · 감정 폭발
55,戊午,무오일주,따뜻한 권위형,책임감 · 주도성 · 중후함 · 자존심 · 보호 본능,호방함 · 신뢰감 · 당당함 · 밝은 권위,인정 욕구 · 통제욕 · 체면 · 희생 의식,리더십 · 관리력 · 버팀 · 보호력,훈계성 · 독선 · 감정 억압 · 희생 강요
56,己未,기미일주,생활 기반형,성실함 · 돌봄 · 축적성 · 안정성 · 인내,차분함 · 온화함 · 부지런함 · 신뢰감,미련 · 가족 집착 · 서운함 · 변화 불안,관리력 · 지속력 · 생활 감각 · 돌봄,보수성 · 자기 억압 · 간섭 · 불만 누적
57,庚申,경신일주,생존형 승부사,독립심 · 경쟁성 · 기민함 · 결단력 · 실전성,강직함 · 빠른 판단 · 직설적 · 냉정함,패배 불안 · 불신 · 자존심 · 통제 거부,실행력 · 위기 대응 · 전략 · 기술성,공격성 · 고립 · 관계 절단 · 도움 거부
58,辛酉,신유일주,고결한 완벽형,정밀함 · 품위 · 자기 가치 · 심미성 · 선택성,세련됨 · 단정함 · 차분함 · 냉정함,비교 · 우월감 · 상처 민감 · 고독,안목 · 완성도 · 분별력 · 브랜드 감각,완벽 강박 · 까다로움 · 자존심 · 관계 냉각
59,壬戌,임술일주,큰 책임의 야심형,대범함 · 책임감 · 전략성 · 야심 · 보호 본능,호방함 · 중후함 · 침착함 · 권위감,불신 · 분노 축적 · 소유욕 · 강함 강박,위기 관리 · 조직력 · 전략 · 통솔,과잉 책임 · 통제성 · 체면 집착 · 한꺼번에 폭발
60,癸亥,계해일주,깊은 감수형,감수성 · 직관 · 상상력 · 내밀함 · 자유성,조용함 · 부드러움 · 신비감 · 수용적,외로움 · 경계 약화 · 감정 의존 · 현실 회피,통찰 · 공감 · 창의성 · 깊은 몰입,방황 · 비밀주의 · 감정 침잠 · 정착 부족
